Image_id,Animal
Img-1.jpg,hippopotamus
Img-2.jpg,squirrel
Img-3.jpg,grizzly+bear
Img-4.jpg,ox
Img-5.jpg,german+shepherd
Img-6.jpg,buffalo
Img-7.jpg,otter
Img-8.jpg,bobcat
Img-9.jpg,wolf
Img-10.jpg,persian+cat
Img-11.jpg,collie
Img-12.jpg,antelope
Img-13.jpg,ox
Img-14.jpg,seal
Img-15.jpg,dalmatian
Img-16.jpg,siamese+cat
Img-17.jpg,moose
Img-18.jpg,buffalo
Img-19.jpg,wolf
Img-20.jpg,horse
Img-21.jpg,otter
Img-22.jpg,otter
Img-23.jpg,killer+whale
Img-24.jpg,buffalo
Img-25.jpg,killer+whale
Img-26.jpg,moose
Img-27.jpg,siamese+cat
Img-28.jpg,mouse
Img-29.jpg,dalmatian
Img-30.jpg,horse
Img-31.jpg,siamese+cat
Img-32.jpg,antelope
Img-33.jpg,antelope
Img-34.jpg,squirrel
Img-35.jpg,horse
Img-36.jpg,german+shepherd
Img-37.jpg,horse
Img-38.jpg,squirrel
Img-39.jpg,horse
Img-40.jpg,squirrel
Img-41.jpg,hippopotamus
Img-42.jpg,seal
Img-43.jpg,horse
Img-44.jpg,collie
Img-45.jpg,walrus
Img-46.jpg,seal
Img-47.jpg,grizzly+bear
Img-48.jpg,otter
Img-49.jpg,beaver
Img-50.jpg,rhinoceros
Img-51.jpg,dalmatian
Img-52.jpg,horse
Img-53.jpg,chimpanzee
Img-54.jpg,collie
Img-55.jpg,weasel
Img-56.jpg,horse
Img-57.jpg,persian+cat
Img-58.jpg,bobcat
Img-59.jpg,grizzly+bear
Img-60.jpg,antelope
Img-61.jpg,squirrel
Img-62.jpg,grizzly+bear
Img-63.jpg,dalmatian
Img-64.jpg,walrus
Img-65.jpg,killer+whale
Img-66.jpg,chimpanzee
Img-67.jpg,chimpanzee
Img-68.jpg,ox
Img-69.jpg,german+shepherd
Img-70.jpg,otter
Img-71.jpg,chimpanzee
Img-72.jpg,beaver
Img-73.jpg,hippopotamus
Img-74.jpg,german+shepherd
Img-75.jpg,chimpanzee
Img-76.jpg,spider+monkey
Img-77.jpg,antelope
Img-78.jpg,hippopotamus
Img-79.jpg,horse
Img-80.jpg,buffalo
Img-81.jpg,otter
Img-82.jpg,mouse
Img-83.jpg,bobcat
Img-84.jpg,walrus
Img-85.jpg,squirrel
Img-86.jpg,chimpanzee
Img-87.jpg,horse
Img-88.jpg,rhinoceros
Img-89.jpg,chimpanzee
Img-90.jpg,seal
Img-91.jpg,bobcat
Img-92.jpg,grizzly+bear
Img-93.jpg,grizzly+bear
Img-94.jpg,horse
Img-95.jpg,raccoon
Img-96.jpg,ox
Img-97.jpg,collie
Img-98.jpg,seal
Img-99.jpg,raccoon
Img-100.jpg,horse
Img-101.jpg,rhinoceros
Img-102.jpg,antelope
Img-103.jpg,wolf
Img-104.jpg,squirrel
Img-105.jpg,weasel
Img-106.jpg,antelope
Img-107.jpg,antelope
Img-108.jpg,persian+cat
Img-109.jpg,horse
Img-110.jpg,siamese+cat
Img-111.jpg,ox
Img-112.jpg,dalmatian
Img-113.jpg,bobcat
Img-114.jpg,german+shepherd
Img-115.jpg,grizzly+bear
Img-116.jpg,ox
Img-117.jpg,collie
Img-118.jpg,siamese+cat
Img-119.jpg,chimpanzee
Img-120.jpg,hippopotamus
Img-121.jpg,ox
Img-122.jpg,dalmatian
Img-123.jpg,raccoon
Img-124.jpg,squirrel
Img-125.jpg,siamese+cat
Img-126.jpg,buffalo
Img-127.jpg,antelope
Img-128.jpg,squirrel
Img-129.jpg,rhinoceros
Img-130.jpg,antelope
Img-131.jpg,siamese+cat
Img-132.jpg,horse
Img-133.jpg,rat
